[2020-11-17 18:48:43,165]-[util.py]-[INFO]:[打开浏览器，输入网址完毕！]
[2020-11-17 18:48:45,768]-[util.py]-[INFO]:[登录完成！]
[2020-11-17 18:48:46,153]-[util.py]-[INFO]:[断言成功！]
[2020-11-17 18:48:46,235]-[util.py]-[INFO]:[点击确认按钮！]
[2020-11-17 18:48:48,602]-[util.py]-[INFO]:[登录完成！]
[2020-11-17 18:48:48,663]-[util.py]-[INFO]:[断言成功！]
[2020-11-17 18:48:48,734]-[util.py]-[INFO]:[点击确认按钮！]
[2020-11-17 18:48:51,043]-[util.py]-[INFO]:[登录完成！]
[2020-11-17 18:48:51,096]-[util.py]-[INFO]:[断言成功！]
[2020-11-17 18:48:51,158]-[util.py]-[INFO]:[点击确认按钮！]
[2020-11-17 18:48:53,491]-[util.py]-[INFO]:[登录完成！]
[2020-11-17 18:48:53,529]-[util.py]-[INFO]:[断言成功！]
[2020-11-17 18:48:53,593]-[util.py]-[INFO]:[点击确认按钮！]
[2020-11-17 18:48:55,909]-[util.py]-[INFO]:[登录完成！]
[2020-11-17 18:48:55,957]-[util.py]-[INFO]:[断言成功！]
[2020-11-17 18:48:56,023]-[util.py]-[INFO]:[点击确认按钮！]
[2020-11-17 18:48:58,339]-[util.py]-[INFO]:[登录完成！]
[2020-11-17 18:48:58,368]-[util.py]-[INFO]:[断言成功！]
[2020-11-17 18:48:58,433]-[util.py]-[INFO]:[点击确认按钮！]
[2020-11-17 18:49:00,796]-[util.py]-[INFO]:[登录完毕！]
[2020-11-17 18:49:01,916]-[util.py]-[INFO]:[断言成功！]
[2020-11-17 18:49:02,021]-[util.py]-[INFO]:[退出成功！]
[2020-11-17 18:49:06,682]-[util.py]-[INFO]:[登录完毕！]
[2020-11-17 18:49:06,734]-[util.py]-[INFO]:[断言成功！]
[2020-11-17 18:49:06,835]-[util.py]-[INFO]:[退出成功！]
[2020-11-17 18:49:10,790]-[util.py]-[INFO]:[登录完毕！]
[2020-11-17 18:49:10,845]-[util.py]-[INFO]:[断言成功！]
[2020-11-17 18:49:10,931]-[util.py]-[INFO]:[退出成功！]
[2020-11-17 18:49:15,038]-[util.py]-[INFO]:[登录完毕！]
[2020-11-17 18:49:15,099]-[util.py]-[INFO]:[断言成功！]
[2020-11-17 18:49:15,177]-[util.py]-[INFO]:[退出成功！]
[2020-11-17 18:49:18,343]-[util.py]-[INFO]:[登录完毕！]
[2020-11-17 18:49:18,406]-[util.py]-[INFO]:[断言成功！]
[2020-11-17 18:49:18,487]-[util.py]-[INFO]:[退出成功！]
[2020-11-17 18:49:21,647]-[util.py]-[INFO]:[登录完毕！]
[2020-11-17 18:49:21,697]-[util.py]-[INFO]:[断言成功！]
[2020-11-17 18:49:21,785]-[util.py]-[INFO]:[退出成功！]
[2020-11-18 11:31:08,587]-[util.py]-[INFO]:[打开浏览器，输入网址完毕！]
[2020-11-18 11:31:11,322]-[util.py]-[INFO]:[登录完成！]
[2020-11-18 11:31:11,393]-[util.py]-[INFO]:[断言成功！]
[2020-11-18 11:31:11,463]-[util.py]-[INFO]:[点击确认按钮！]
[2020-11-18 11:31:13,893]-[util.py]-[INFO]:[登录完成！]
[2020-11-18 11:31:13,942]-[util.py]-[INFO]:[断言成功！]
[2020-11-18 11:31:14,006]-[util.py]-[INFO]:[点击确认按钮！]
[2020-11-18 11:31:16,410]-[util.py]-[INFO]:[登录完成！]
[2020-11-18 11:31:16,454]-[util.py]-[INFO]:[断言成功！]
[2020-11-18 11:31:16,523]-[util.py]-[INFO]:[点击确认按钮！]
[2020-11-18 11:31:18,999]-[util.py]-[INFO]:[登录完成！]
[2020-11-18 11:31:19,037]-[util.py]-[INFO]:[断言成功！]
[2020-11-18 11:31:19,107]-[util.py]-[INFO]:[点击确认按钮！]
[2020-11-18 11:31:21,604]-[util.py]-[INFO]:[登录完成！]
[2020-11-18 11:31:21,661]-[util.py]-[INFO]:[断言成功！]
[2020-11-18 11:31:21,729]-[util.py]-[INFO]:[点击确认按钮！]
[2020-11-18 11:31:24,091]-[util.py]-[INFO]:[登录完成！]
[2020-11-18 11:31:24,150]-[util.py]-[INFO]:[断言成功！]
[2020-11-18 11:31:24,217]-[util.py]-[INFO]:[点击确认按钮！]
[2020-11-18 11:31:26,665]-[util.py]-[INFO]:[登录完毕！]
[2020-11-18 11:31:28,519]-[util.py]-[INFO]:[断言成功！]
[2020-11-18 11:31:28,605]-[util.py]-[INFO]:[退出成功！]
[2020-11-18 11:31:38,757]-[util.py]-[INFO]:[退出成功！]
[2020-11-18 11:31:48,872]-[util.py]-[INFO]:[退出成功！]
[2020-11-18 11:31:58,951]-[util.py]-[INFO]:[退出成功！]
[2020-11-18 11:32:09,045]-[util.py]-[INFO]:[退出成功！]
[2020-11-18 11:32:19,145]-[util.py]-[INFO]:[退出成功！]
[2020-11-21 14:40:39,321]-[util.py]-[INFO]:[打开浏览器，输入网址完毕！]
[2020-11-21 14:40:41,876]-[util.py]-[INFO]:[登录完成！]
[2020-11-21 14:40:41,934]-[util.py]-[INFO]:[断言成功！]
[2020-11-21 14:40:42,001]-[util.py]-[INFO]:[点击确认按钮！]
[2020-11-21 14:40:44,349]-[util.py]-[INFO]:[登录完成！]
[2020-11-21 14:40:44,379]-[util.py]-[INFO]:[断言成功！]
