[2020-11-27 22:42:58,781]-[util.py]-[INFO]:[打开浏览器，输入网址完毕！]
[2020-11-27 22:43:01,218]-[util.py]-[INFO]:[登录完成！]
[2020-11-27 22:43:01,262]-[util.py]-[INFO]:[断言成功！]
[2020-11-27 22:43:01,335]-[util.py]-[INFO]:[点击确认按钮！]
[2020-11-27 22:43:03,657]-[util.py]-[INFO]:[登录完成！]
[2020-11-27 22:43:03,690]-[util.py]-[INFO]:[断言成功！]
[2020-11-27 22:43:03,756]-[util.py]-[INFO]:[点击确认按钮！]
[2020-11-27 22:43:06,137]-[util.py]-[INFO]:[登录完成！]
[2020-11-27 22:43:06,171]-[util.py]-[INFO]:[断言成功！]
[2020-11-27 22:43:06,241]-[util.py]-[INFO]:[点击确认按钮！]
[2020-11-27 22:43:08,619]-[util.py]-[INFO]:[登录完成！]
[2020-11-27 22:43:08,660]-[util.py]-[INFO]:[断言成功！]
[2020-11-27 22:43:08,725]-[util.py]-[INFO]:[点击确认按钮！]
[2020-11-27 22:43:11,148]-[util.py]-[INFO]:[登录完成！]
[2020-11-27 22:43:11,181]-[util.py]-[INFO]:[断言成功！]
[2020-11-27 22:43:11,248]-[util.py]-[INFO]:[点击确认按钮！]
[2020-11-27 22:43:13,581]-[util.py]-[INFO]:[登录完成！]
[2020-11-27 22:43:13,619]-[util.py]-[INFO]:[断言成功！]
[2020-11-27 22:43:13,684]-[util.py]-[INFO]:[点击确认按钮！]
[2020-11-27 22:43:16,071]-[util.py]-[INFO]:[登录完毕！]
[2020-11-27 22:43:17,188]-[util.py]-[INFO]:[断言成功！]
[2020-11-27 22:43:17,318]-[util.py]-[INFO]:[退出成功！]
[2020-11-27 22:43:23,846]-[util.py]-[INFO]:[登录完毕！]
[2020-11-27 22:43:23,881]-[util.py]-[INFO]:[断言成功！]
[2020-11-27 22:43:23,978]-[util.py]-[INFO]:[退出成功！]
[2020-11-27 22:43:27,841]-[util.py]-[INFO]:[登录完毕！]
[2020-11-27 22:43:27,876]-[util.py]-[INFO]:[断言成功！]
[2020-11-27 22:43:27,970]-[util.py]-[INFO]:[退出成功！]
[2020-11-27 22:43:31,837]-[util.py]-[INFO]:[登录完毕！]
[2020-11-27 22:43:31,871]-[util.py]-[INFO]:[断言成功！]
[2020-11-27 22:43:31,949]-[util.py]-[INFO]:[退出成功！]
[2020-11-27 22:43:35,316]-[util.py]-[INFO]:[登录完毕！]
[2020-11-27 22:43:35,355]-[util.py]-[INFO]:[断言成功！]
[2020-11-27 22:43:35,455]-[util.py]-[INFO]:[退出成功！]
[2020-11-27 22:43:38,784]-[util.py]-[INFO]:[登录完毕！]
[2020-11-27 22:43:38,820]-[util.py]-[INFO]:[断言成功！]
[2020-11-27 22:43:38,906]-[util.py]-[INFO]:[退出成功！]
